date,platform,region,spend
01/07/2025,Internet,eastern,2644.875161290323
01/07/2025,Internet,northern,246.0316129032258
01/07/2025,Internet,southern,308.8816129032258
01/07/2025,Internet,western,58.096774193548384
01/07/2025,Press,western,421.20161290322585
01/07/2025,Production & Installation,western,31.79
01/07/2025,Radio,central,285.4916129032258
01/07/2025,Radio,eastern,2203.5751612903227
01/07/2025,Radio,northern,3643.956451612903
01/07/2025,Radio,southern,1637.4541935483871
01/07/2025,Radio,western,1442.5774193548386
01/07/2025,Television,central,317.76129032258063
01/07/2025,Television,eastern,7174.891612903226
01/07/2025,Television,northern,8724.777096774193
01/07/2025,Television,southern,4560.661290322581
01/07/2025,Television,western,2871.8390322580644
01/08/2025,Internet,eastern,87.14516129032258
01/08/2025,Internet,northern,245.97290322580645
01/08/2025,Internet,southern,329.7961290322581
01/08/2025,Internet,western,72.62096774193549
01/08/2025,Press,western,639.0645161290323
01/08/2025,Production & Installation,western,19.364516129032257
01/08/2025,Radio,central,278.17161290322576
01/08/2025,Radio,eastern,1893.1393548387098
01/08/2025,Radio,northern,4009.928709677419
01/08/2025,Radio,southern,1497.768064516129
01/08/2025,Radio,western,1921.99
01/08/2025,Television,central,311.4874193548387
01/08/2025,Television,eastern,7472.734193548387
01/08/2025,Television,northern,9884.253870967743
01/08/2025,Television,southern,3781.643870967742
01/08/2025,Television,western,3039.304516129032
01/09/2025,Internet,eastern,90.05
01/09/2025,Internet,northern,254.20200000000003
01/09/2025,Internet,southern,319.2083333333333
01/09/2025,Internet,western,45.025
01/09/2025,Press,western,330.18333333333334
01/09/2025,Production & Installation,western,20.009999999999998
01/09/2025,Radio,central,316.55966666666666
01/09/2025,Radio,eastern,1709.5303333333334
01/09/2025,Radio,northern,3492.4126666666666
01/09/2025,Radio,southern,1484.6016666666667
01/09/2025,Radio,western,1086.7553333333335
01/09/2025,Television,central,200.21166666666667
01/09/2025,Television,eastern,9402.355
01/09/2025,Television,northern,10718.037666666667
01/09/2025,Television,southern,7316.226333333334
01/09/2025,Television,western,2740.5029999999997
02/07/2025,Internet,eastern,2644.875161290323
02/07/2025,Internet,northern,246.0316129032258
02/07/2025,Internet,southern,308.8816129032258
02/07/2025,Internet,western,58.096774193548384
02/07/2025,Press,western,421.20161290322585
02/07/2025,Production & Installation,western,31.79
02/07/2025,Radio,central,285.4916129032258
02/07/2025,Radio,eastern,2203.5751612903227
02/07/2025,Radio,northern,3643.956451612903
02/07/2025,Radio,southern,1637.4541935483871
02/07/2025,Radio,western,1442.5774193548386
02/07/2025,Television,central,317.76129032258063
02/07/2025,Television,eastern,7174.891612903226
02/07/2025,Television,northern,8724.777096774193
02/07/2025,Television,southern,4560.661290322581
02/07/2025,Television,western,2871.8390322580644
02/08/2025,Internet,eastern,87.14516129032258
02/08/2025,Internet,northern,245.97290322580645
02/08/2025,Internet,southern,329.7961290322581
02/08/2025,Internet,western,72.62096774193549
02/08/2025,Press,western,639.0645161290323
02/08/2025,Production & Installation,western,19.364516129032257
02/08/2025,Radio,central,278.17161290322576
02/08/2025,Radio,eastern,1893.1393548387098
02/08/2025,Radio,northern,4009.928709677419
02/08/2025,Radio,southern,1497.768064516129
02/08/2025,Radio,western,1921.99
02/08/2025,Television,central,311.4874193548387
02/08/2025,Television,eastern,7472.734193548387
02/08/2025,Television,northern,9884.253870967743
02/08/2025,Television,southern,3781.643870967742
02/08/2025,Television,western,3039.304516129032
02/09/2025,Internet,eastern,90.05
02/09/2025,Internet,northern,254.20200000000003
02/09/2025,Internet,southern,319.2083333333333
02/09/2025,Internet,western,45.025
02/09/2025,Press,western,330.18333333333334
02/09/2025,Production & Installation,western,20.009999999999998
02/09/2025,Radio,central,316.55966666666666
02/09/2025,Radio,eastern,1709.5303333333334
02/09/2025,Radio,northern,3492.4126666666666
02/09/2025,Radio,southern,1484.6016666666667
02/09/2025,Radio,western,1086.7553333333335
02/09/2025,Television,central,200.21166666666667
02/09/2025,Television,eastern,9402.355
02/09/2025,Television,northern,10718.037666666667
02/09/2025,Television,southern,7316.226333333334
02/09/2025,Television,western,2740.5029999999997
03/07/2025,Internet,eastern,2644.875161290323
03/07/2025,Internet,northern,246.0316129032258
03/07/2025,Internet,southern,308.8816129032258
03/07/2025,Internet,western,58.096774193548384
03/07/2025,Press,western,421.20161290322585
03/07/2025,Production & Installation,western,31.79
03/07/2025,Radio,central,285.4916129032258
03/07/2025,Radio,eastern,2203.5751612903227
03/07/2025,Radio,northern,3643.956451612903
03/07/2025,Radio,southern,1637.4541935483871
03/07/2025,Radio,western,1442.5774193548386
03/07/2025,Television,central,317.76129032258063
03/07/2025,Television,eastern,7174.891612903226
03/07/2025,Television,northern,8724.777096774193
03/07/2025,Television,southern,4560.661290322581
03/07/2025,Television,western,2871.8390322580644
03/08/2025,Internet,eastern,87.14516129032258
03/08/2025,Internet,northern,245.97290322580645
03/08/2025,Internet,southern,329.7961290322581
03/08/2025,Internet,western,72.62096774193549
03/08/2025,Press,western,639.0645161290323
03/08/2025,Production & Installation,western,19.364516129032257
03/08/2025,Radio,central,278.17161290322576
03/08/2025,Radio,eastern,1893.1393548387098
03/08/2025,Radio,northern,4009.928709677419
03/08/2025,Radio,southern,1497.768064516129
03/08/2025,Radio,western,1921.99
03/08/2025,Television,central,311.4874193548387
03/08/2025,Television,eastern,7472.734193548387
03/08/2025,Television,northern,9884.253870967743
03/08/2025,Television,southern,3781.643870967742
03/08/2025,Television,western,3039.304516129032
03/09/2025,Internet,eastern,90.05
03/09/2025,Internet,northern,254.20200000000003
03/09/2025,Internet,southern,319.2083333333333
03/09/2025,Internet,western,45.025
03/09/2025,Press,western,330.18333333333334
03/09/2025,Production & Installation,western,20.009999999999998
03/09/2025,Radio,central,316.55966666666666
03/09/2025,Radio,eastern,1709.5303333333334
03/09/2025,Radio,northern,3492.4126666666666
03/09/2025,Radio,southern,1484.6016666666667
03/09/2025,Radio,western,1086.7553333333335
03/09/2025,Television,central,200.21166666666667
03/09/2025,Television,eastern,9402.355
03/09/2025,Television,northern,10718.037666666667
03/09/2025,Television,southern,7316.226333333334
03/09/2025,Television,western,2740.5029999999997
04/07/2025,Internet,eastern,2644.875161290323
04/07/2025,Internet,northern,246.0316129032258
04/07/2025,Internet,southern,308.8816129032258
04/07/2025,Internet,western,58.096774193548384
04/07/2025,Press,western,421.20161290322585
04/07/2025,Production & Installation,western,31.79
04/07/2025,Radio,central,285.4916129032258
04/07/2025,Radio,eastern,2203.5751612903227
04/07/2025,Radio,northern,3643.956451612903
04/07/2025,Radio,southern,1637.4541935483871
04/07/2025,Radio,western,1442.5774193548386
04/07/2025,Television,central,317.76129032258063
04/07/2025,Television,eastern,7174.891612903226
04/07/2025,Television,northern,8724.777096774193
04/07/2025,Television,southern,4560.661290322581
04/07/2025,Television,western,2871.8390322580644
04/08/2025,Internet,eastern,87.14516129032258
04/08/2025,Internet,northern,245.97290322580645
04/08/2025,Internet,southern,329.7961290322581
04/08/2025,Internet,western,72.62096774193549
04/08/2025,Press,western,639.0645161290323
04/08/2025,Production & Installation,western,19.364516129032257
04/08/2025,Radio,central,278.17161290322576
04/08/2025,Radio,eastern,1893.1393548387098
04/08/2025,Radio,northern,4009.928709677419
04/08/2025,Radio,southern,1497.768064516129
04/08/2025,Radio,western,1921.99
04/08/2025,Television,central,311.4874193548387
04/08/2025,Television,eastern,7472.734193548387
04/08/2025,Television,northern,9884.253870967743
04/08/2025,Television,southern,3781.643870967742
04/08/2025,Television,western,3039.304516129032
04/09/2025,Internet,eastern,90.05
04/09/2025,Internet,northern,254.20200000000003
04/09/2025,Internet,southern,319.2083333333333
04/09/2025,Internet,western,45.025
04/09/2025,Press,western,330.18333333333334
04/09/2025,Production & Installation,western,20.009999999999998
04/09/2025,Radio,central,316.55966666666666
04/09/2025,Radio,eastern,1709.5303333333334
04/09/2025,Radio,northern,3492.4126666666666
04/09/2025,Radio,southern,1484.6016666666667
04/09/2025,Radio,western,1086.7553333333335
04/09/2025,Television,central,200.21166666666667
04/09/2025,Television,eastern,9402.355
04/09/2025,Television,northern,10718.037666666667
04/09/2025,Television,southern,7316.226333333334
04/09/2025,Television,western,2740.5029999999997
05/07/2025,Internet,eastern,2644.875161290323
05/07/2025,Internet,northern,246.0316129032258
05/07/2025,Internet,southern,308.8816129032258
05/07/2025,Internet,western,58.096774193548384
05/07/2025,Press,western,421.20161290322585
05/07/2025,Production & Installation,western,31.79
05/07/2025,Radio,central,285.4916129032258
05/07/2025,Radio,eastern,2203.5751612903227
05/07/2025,Radio,northern,3643.956451612903
05/07/2025,Radio,southern,1637.4541935483871
05/07/2025,Radio,western,1442.5774193548386
05/07/2025,Television,central,317.76129032258063
05/07/2025,Television,eastern,7174.891612903226
05/07/2025,Television,northern,8724.777096774193
05/07/2025,Television,southern,4560.661290322581
05/07/2025,Television,western,2871.8390322580644
05/08/2025,Internet,eastern,87.14516129032258
05/08/2025,Internet,northern,245.97290322580645
05/08/2025,Internet,southern,329.7961290322581
05/08/2025,Internet,western,72.62096774193549
05/08/2025,Press,western,639.0645161290323
05/08/2025,Production & Installation,western,19.364516129032257
05/08/2025,Radio,central,278.17161290322576
05/08/2025,Radio,eastern,1893.1393548387098
05/08/2025,Radio,northern,4009.928709677419
05/08/2025,Radio,southern,1497.768064516129
05/08/2025,Radio,western,1921.99
05/08/2025,Television,central,311.4874193548387
05/08/2025,Television,eastern,7472.734193548387
05/08/2025,Television,northern,9884.253870967743
05/08/2025,Television,southern,3781.643870967742
05/08/2025,Television,western,3039.304516129032
05/09/2025,Internet,eastern,90.05
05/09/2025,Internet,northern,254.20200000000003
05/09/2025,Internet,southern,319.2083333333333
05/09/2025,Internet,western,45.025
05/09/2025,Press,western,330.18333333333334
05/09/2025,Production & Installation,western,20.009999999999998
05/09/2025,Radio,central,316.55966666666666
05/09/2025,Radio,eastern,1709.5303333333334
05/09/2025,Radio,northern,3492.4126666666666
05/09/2025,Radio,southern,1484.6016666666667
05/09/2025,Radio,western,1086.7553333333335
05/09/2025,Television,central,200.21166666666667
05/09/2025,Television,eastern,9402.355
05/09/2025,Television,northern,10718.037666666667
05/09/2025,Television,southern,7316.226333333334
05/09/2025,Television,western,2740.5029999999997
06/07/2025,Internet,eastern,2644.875161290323
06/07/2025,Internet,northern,246.0316129032258
06/07/2025,Internet,southern,308.8816129032258
06/07/2025,Internet,western,58.096774193548384
06/07/2025,Press,western,421.20161290322585
06/07/2025,Production & Installation,western,31.79
06/07/2025,Radio,central,285.4916129032258
06/07/2025,Radio,eastern,2203.5751612903227
06/07/2025,Radio,northern,3643.956451612903
06/07/2025,Radio,southern,1637.4541935483871
06/07/2025,Radio,western,1442.5774193548386
06/07/2025,Television,central,317.76129032258063
06/07/2025,Television,eastern,7174.891612903226
06/07/2025,Television,northern,8724.777096774193
06/07/2025,Television,southern,4560.661290322581
06/07/2025,Television,western,2871.8390322580644
06/08/2025,Internet,eastern,87.14516129032258
06/08/2025,Internet,northern,245.97290322580645
06/08/2025,Internet,southern,329.7961290322581
06/08/2025,Internet,western,72.62096774193549
06/08/2025,Press,western,639.0645161290323
06/08/2025,Production & Installation,western,19.364516129032257
06/08/2025,Radio,central,278.17161290322576
06/08/2025,Radio,eastern,1893.1393548387098
06/08/2025,Radio,northern,4009.928709677419
06/08/2025,Radio,southern,1497.768064516129
06/08/2025,Radio,western,1921.99
06/08/2025,Television,central,311.4874193548387
06/08/2025,Television,eastern,7472.734193548387
06/08/2025,Television,northern,9884.253870967743
06/08/2025,Television,southern,3781.643870967742
06/08/2025,Television,western,3039.304516129032
06/09/2025,Internet,eastern,90.05
06/09/2025,Internet,northern,254.20200000000003
06/09/2025,Internet,southern,319.2083333333333
06/09/2025,Internet,western,45.025
06/09/2025,Press,western,330.18333333333334
06/09/2025,Production & Installation,western,20.009999999999998
06/09/2025,Radio,central,316.55966666666666
06/09/2025,Radio,eastern,1709.5303333333334
06/09/2025,Radio,northern,3492.4126666666666
06/09/2025,Radio,southern,1484.6016666666667
06/09/2025,Radio,western,1086.7553333333335
06/09/2025,Television,central,200.21166666666667
06/09/2025,Television,eastern,9402.355
06/09/2025,Television,northern,10718.037666666667
06/09/2025,Television,southern,7316.226333333334
06/09/2025,Television,western,2740.5029999999997
07/07/2025,Internet,eastern,2644.875161290323
07/07/2025,Internet,northern,246.0316129032258
07/07/2025,Internet,southern,308.8816129032258
07/07/2025,Internet,western,58.096774193548384
07/07/2025,Press,western,421.20161290322585
07/07/2025,Production & Installation,western,31.79
07/07/2025,Radio,central,285.4916129032258
07/07/2025,Radio,eastern,2203.5751612903227
07/07/2025,Radio,northern,3643.956451612903
07/07/2025,Radio,southern,1637.4541935483871
07/07/2025,Radio,western,1442.5774193548386
07/07/2025,Television,central,317.76129032258063
07/07/2025,Television,eastern,7174.891612903226
07/07/2025,Television,northern,8724.777096774193
07/07/2025,Television,southern,4560.661290322581
07/07/2025,Television,western,2871.8390322580644
07/08/2025,Internet,eastern,87.14516129032258
07/08/2025,Internet,northern,245.97290322580645
07/08/2025,Internet,southern,329.7961290322581
07/08/2025,Internet,western,72.62096774193549
07/08/2025,Press,western,639.0645161290323
07/08/2025,Production & Installation,western,19.364516129032257
07/08/2025,Radio,central,278.17161290322576
07/08/2025,Radio,eastern,1893.1393548387098
07/08/2025,Radio,northern,4009.928709677419
07/08/2025,Radio,southern,1497.768064516129
07/08/2025,Radio,western,1921.99
07/08/2025,Television,central,311.4874193548387
07/08/2025,Television,eastern,7472.734193548387
07/08/2025,Television,northern,9884.253870967743
07/08/2025,Television,southern,3781.643870967742
07/08/2025,Television,western,3039.304516129032
07/09/2025,Internet,eastern,90.05
07/09/2025,Internet,northern,254.20200000000003
07/09/2025,Internet,southern,319.2083333333333
07/09/2025,Internet,western,45.025
07/09/2025,Press,western,330.18333333333334
07/09/2025,Production & Installation,western,20.009999999999998
07/09/2025,Radio,central,316.55966666666666
07/09/2025,Radio,eastern,1709.5303333333334
07/09/2025,Radio,northern,3492.4126666666666
07/09/2025,Radio,southern,1484.6016666666667
07/09/2025,Radio,western,1086.7553333333335
07/09/2025,Television,central,200.21166666666667
07/09/2025,Television,eastern,9402.355
07/09/2025,Television,northern,10718.037666666667
07/09/2025,Television,southern,7316.226333333334
07/09/2025,Television,western,2740.5029999999997
08/07/2025,Internet,eastern,2644.875161290323
08/07/2025,Internet,northern,246.0316129032258
08/07/2025,Internet,southern,308.8816129032258
08/07/2025,Internet,western,58.096774193548384
08/07/2025,Press,western,421.20161290322585
08/07/2025,Production & Installation,western,31.79
08/07/2025,Radio,central,285.4916129032258
08/07/2025,Radio,eastern,2203.5751612903227
08/07/2025,Radio,northern,3643.956451612903
08/07/2025,Radio,southern,1637.4541935483871
08/07/2025,Radio,western,1442.5774193548386
08/07/2025,Television,central,317.76129032258063
08/07/2025,Television,eastern,7174.891612903226
08/07/2025,Television,northern,8724.777096774193
08/07/2025,Television,southern,4560.661290322581
08/07/2025,Television,western,2871.8390322580644
08/08/2025,Internet,eastern,87.14516129032258
08/08/2025,Internet,northern,245.97290322580645
08/08/2025,Internet,southern,329.7961290322581
08/08/2025,Internet,western,72.62096774193549
08/08/2025,Press,western,639.0645161290323
08/08/2025,Production & Installation,western,19.364516129032257
08/08/2025,Radio,central,278.17161290322576
08/08/2025,Radio,eastern,1893.1393548387098
08/08/2025,Radio,northern,4009.928709677419
08/08/2025,Radio,southern,1497.768064516129
08/08/2025,Radio,western,1921.99
08/08/2025,Television,central,311.4874193548387
08/08/2025,Television,eastern,7472.734193548387
08/08/2025,Television,northern,9884.253870967743
08/08/2025,Television,southern,3781.643870967742
08/08/2025,Television,western,3039.304516129032
08/09/2025,Internet,eastern,90.05
08/09/2025,Internet,northern,254.20200000000003
08/09/2025,Internet,southern,319.2083333333333
08/09/2025,Internet,western,45.025
08/09/2025,Press,western,330.18333333333334
08/09/2025,Production & Installation,western,20.009999999999998
08/09/2025,Radio,central,316.55966666666666
08/09/2025,Radio,eastern,1709.5303333333334
08/09/2025,Radio,northern,3492.4126666666666
08/09/2025,Radio,southern,1484.6016666666667
08/09/2025,Radio,western,1086.7553333333335
08/09/2025,Television,central,200.21166666666667
08/09/2025,Television,eastern,9402.355
08/09/2025,Television,northern,10718.037666666667
08/09/2025,Television,southern,7316.226333333334
08/09/2025,Television,western,2740.5029999999997
09/07/2025,Internet,eastern,2644.875161290323
09/07/2025,Internet,northern,246.0316129032258
09/07/2025,Internet,southern,308.8816129032258
09/07/2025,Internet,western,58.096774193548384
09/07/2025,Press,western,421.20161290322585
09/07/2025,Production & Installation,western,31.79
09/07/2025,Radio,central,285.4916129032258
09/07/2025,Radio,eastern,2203.5751612903227
09/07/2025,Radio,northern,3643.956451612903
09/07/2025,Radio,southern,1637.4541935483871
09/07/2025,Radio,western,1442.5774193548386
09/07/2025,Television,central,317.76129032258063
09/07/2025,Television,eastern,7174.891612903226
09/07/2025,Television,northern,8724.777096774193
09/07/2025,Television,southern,4560.661290322581
09/07/2025,Television,western,2871.8390322580644
09/08/2025,Internet,eastern,87.14516129032258
09/08/2025,Internet,northern,245.97290322580645
09/08/2025,Internet,southern,329.7961290322581
09/08/2025,Internet,western,72.62096774193549
09/08/2025,Press,western,639.0645161290323
09/08/2025,Production & Installation,western,19.364516129032257
09/08/2025,Radio,central,278.17161290322576
09/08/2025,Radio,eastern,1893.1393548387098
09/08/2025,Radio,northern,4009.928709677419
09/08/2025,Radio,southern,1497.768064516129
09/08/2025,Radio,western,1921.99
09/08/2025,Television,central,311.4874193548387
09/08/2025,Television,eastern,7472.734193548387
09/08/2025,Television,northern,9884.253870967743
09/08/2025,Television,southern,3781.643870967742
09/08/2025,Television,western,3039.304516129032
09/09/2025,Internet,eastern,90.05
09/09/2025,Internet,northern,254.20200000000003
09/09/2025,Internet,southern,319.2083333333333
09/09/2025,Internet,western,45.025
09/09/2025,Press,western,330.18333333333334
09/09/2025,Production & Installation,western,20.009999999999998
09/09/2025,Radio,central,316.55966666666666
09/09/2025,Radio,eastern,1709.5303333333334
09/09/2025,Radio,northern,3492.4126666666666
09/09/2025,Radio,southern,1484.6016666666667
09/09/2025,Radio,western,1086.7553333333335
09/09/2025,Television,central,200.21166666666667
09/09/2025,Television,eastern,9402.355
09/09/2025,Television,northern,10718.037666666667
09/09/2025,Television,southern,7316.226333333334
09/09/2025,Television,western,2740.5029999999997
10/07/2025,Internet,eastern,2644.875161290323
10/07/2025,Internet,northern,246.0316129032258
10/07/2025,Internet,southern,308.8816129032258
10/07/2025,Internet,western,58.096774193548384
10/07/2025,Press,western,421.20161290322585
10/07/2025,Production & Installation,western,31.79
10/07/2025,Radio,central,285.4916129032258
10/07/2025,Radio,eastern,2203.5751612903227
10/07/2025,Radio,northern,3643.956451612903
10/07/2025,Radio,southern,1637.4541935483871
10/07/2025,Radio,western,1442.5774193548386
10/07/2025,Television,central,317.76129032258063
10/07/2025,Television,eastern,7174.891612903226
10/07/2025,Television,northern,8724.777096774193
10/07/2025,Television,southern,4560.661290322581
10/07/2025,Television,western,2871.8390322580644
10/08/2025,Internet,eastern,87.14516129032258
10/08/2025,Internet,northern,245.97290322580645
10/08/2025,Internet,southern,329.7961290322581
10/08/2025,Internet,western,72.62096774193549
10/08/2025,Press,western,639.0645161290323
10/08/2025,Production & Installation,western,19.364516129032257
10/08/2025,Radio,central,278.17161290322576
10/08/2025,Radio,eastern,1893.1393548387098
10/08/2025,Radio,northern,4009.928709677419
10/08/2025,Radio,southern,1497.768064516129
10/08/2025,Radio,western,1921.99
10/08/2025,Television,central,311.4874193548387
10/08/2025,Television,eastern,7472.734193548387
10/08/2025,Television,northern,9884.253870967743
10/08/2025,Television,southern,3781.643870967742
10/08/2025,Television,western,3039.304516129032
10/09/2025,Internet,eastern,90.05
10/09/2025,Internet,northern,254.20200000000003
10/09/2025,Internet,southern,319.2083333333333
10/09/2025,Internet,western,45.025
10/09/2025,Press,western,330.18333333333334
10/09/2025,Production & Installation,western,20.009999999999998
10/09/2025,Radio,central,316.55966666666666
10/09/2025,Radio,eastern,1709.5303333333334
10/09/2025,Radio,northern,3492.4126666666666
10/09/2025,Radio,southern,1484.6016666666667
10/09/2025,Radio,western,1086.7553333333335
10/09/2025,Television,central,200.21166666666667
10/09/2025,Television,eastern,9402.355
10/09/2025,Television,northern,10718.037666666667
10/09/2025,Television,southern,7316.226333333334
10/09/2025,Television,western,2740.5029999999997
11/07/2025,Internet,eastern,2644.875161290323
11/07/2025,Internet,northern,246.0316129032258
11/07/2025,Internet,southern,308.8816129032258
11/07/2025,Internet,western,58.096774193548384
11/07/2025,Press,western,421.20161290322585
11/07/2025,Production & Installation,western,31.79
11/07/2025,Radio,central,285.4916129032258
11/07/2025,Radio,eastern,2203.5751612903227
11/07/2025,Radio,northern,3643.956451612903
11/07/2025,Radio,southern,1637.4541935483871
